vas@vasm1pro:/Users/vas/repos/matemancpp$ time ./build/matemancpp
Thread ID       Duration        # of Games      File Name
0x16d553000     1.57s           241             Winawer.pgn
0x16d89b000     9.87s           1874            Gulko.pgn
0x16d783000     10.48s          1796            Lautier.pgn
0x16d553000     10.86s          1580            Yu.pgn
0x16d89b000     4.06s           690             Bruzon.pgn
0x16d783000     7.75s           1290            Tartakower.pgn
0x16d89b000     4.28s           704             Tarrasch.pgn
0x16d89b000     0.72s           113             Horwitz.pgn
0x16d5df000     19.96s          3475            NimzoLeningrad.pgn
0x16d6f7000     23.13s          3939            Shirov.pgn
0x16d783000     14.46s          2630            Alekhine4Pawns.pgn
0x16d6f7000     15.70s          2386            Kamsky.pgn
0x16d66b000     44.07s          7510            RuyLopezOpen.pgn
0x16d89b000     28.95s          4705            CzechBenoni.pgn
0x16d783000     17.30s          2959            RuyLopezMarshall.pgn
0x16d553000     41.60s          6793            AlekhineExchange.pgn
0x16d783000     7.90s           1324            Azmaiparashvili.pgn
0x16d89b000     17.89s          3001            Kramnik.pgn
0x16d6f7000     30.32s          5256            QG-Chigorin.pgn
0x16d89b000     3.28s           512             Nimzowitsch.pgn
0x16d4c7000     94.80s          16992           PetroffOther3.pgn
0x16d66b000     50.23s          8776            EnglishSym3d4.pgn
0x16d5df000     80.24s          13344           EnglishSicRev4Knights.pgn
0x16d4c7000     10.96s          2000            Nisipeanu.pgn
0x16d553000     53.53s          8830            Bogo4Nbd2.pgn
0x16d5df000     14.84s          2189            Harikrishna.pgn
0x16d4c7000     17.02s          3132            Hort.pgn
0x16d89b000     76.65s          12799           FrTarraschOther3.pgn
0x16d66b000     51.36s          8593            Sic2Nc6-4Qc7-4Qb6.pgn
0x16d89b000     12.03s          2198            Geller.pgn
0x16d66b000     12.57s          2013            Wojtaszek.pgn
0x16d89b000     16.23s          2582            Navara.pgn
0x16d66b000     21.92s          3179            Nakamura.pgn
0x16d89b000     10.08s          1543            Ni.pgn
0x16d553000     82.56s          13810           English1e6Main.pgn
0x16d89b000     4.91s           797             Rubinstein.pgn
0x16d6f7000     131.55s         21706           SicilianNajdorf6Be3.pgn
0x16d6f7000     10.33s          1697            DeFirmian.pgn
0x16d4c7000     89.25s          15364           PircOtherWhite4.pgn
0x16d80f000     214.64s         35184           KIDOther7.pgn
0x16d4c7000     16.76s          2898            Gligoric.pgn
0x16d5df000     122.73s         20411           SicilianAlapin2Nf6.pgn
0x16d5df000     16.98s          2411            Caruana.pgn
0x16d5df000     5.69s           848             Serper.pgn
0x16d5df000     11.84s          1617            RuyMoeller-SteinDef.pgn
0x16d80f000     60.01s          9559            ModernBenoni6e4.pgn
0x16d783000     223.36s         36250           SicilianTaimanovMain.pgn
0x16d5df000     6.57s           769             Janowski.pgn
0x16d89b000     95.85s          14874           SlavMain.pgn
0x16d66b000     107.79s         16975           English1Nf6-2Nc3.pgn
0x16d80f000     12.60s          1758            Eljanov.pgn
0x16d66b000     0.31s           64              Berliner.pgn
0x16d89b000     4.22s           685             Evans.pgn
0x16d80f000     11.02s          1666            Andreikin.pgn
0x16d783000     20.70s          3551            QGAOther3.pgn
0x16d80f000     15.54s          2614            Miles.pgn
0x16d783000     24.20s          3856            VanWely.pgn
0x16d4c7000     108.96s         16961           Nimzowitsch-Larsen.pgn
0x16d89b000     65.69s          9706            RuyLopezChigorin.pgn
0x16d89b000     4.62s           701             Xie.pgn
0x16d783000     41.74s          6765            FrenchBurn.pgn
0x16d783000     2.91s           385             Waitzkin.pgn
0x16d89b000     14.85s          2505            Ivkov.pgn
0x16d783000     12.09s          1658            Le.pgn
0x16d66b000     99.44s          15646           OldIndian.pgn
0x16d66b000     1.68s           265             Zukertort.pgn
0x16d783000     12.56s          2231            Spassky.pgn
0x16d66b000     7.38s           1328            Kavalek.pgn
0x16d66b000     3.63s           622             Wolff.pgn
0x16d5df000     127.48s         19876           SicilianNajdorf6Be2.pgn
0x16d4c7000     67.18s          10547           Caro-Kann2c4.pgn
0x16d66b000     8.19s           1124            Zhu.pgn
0x16d5df000     4.15s           655             Ye.pgn
0x16d6f7000     205.40s         32439           QGDOther34.pgn
0x16d4c7000     7.01s           1186            Bisguier.pgn
0x16d4c7000     2.08s           370             Soltis.pgn
0x16d553000     238.09s         36654           RetiKIA.pgn
0x16d5df000     25.49s          4244            SicilianTaimanovOther5.pgn
0x16d6f7000     20.50s          3170            Beliavsky.pgn
0x16d783000     51.89s          8205            RuyLopezModSteinitz.pgn
0x16d80f000     144.47s         22733           SicilianSveshnikov.pgn
0x16d783000     12.44s          2268            Speelman.pgn
0x16d80f000     4.21s           756             Maroczy.pgn
0x16d783000     7.43s           1280            IvanovA.pgn
0x16d89b000     101.33s         16822           Scand2Qxd5-3Qa5.pgn
0x16d553000     51.64s          8706            QGAOther4.pgn
0x16d66b000     72.89s          12107           QGDOrthoMain.pgn
0x16d89b000     5.54s           916             Olafsson.pgn
0x16d89b000     2.64s           445             Rohde.pgn
0x16d80f000     22.17s          3485            Dreev.pgn
0x16d553000     12.18s          1897            Najer.pgn
0x16d6f7000     57.13s          9366            PircClassical.pgn
0x16d89b000     9.34s           1345            Muzychuk.pgn
0x16d89b000     5.99s           964             Stahlberg.pgn
0x16d66b000     17.73s          2915            Tiviakov.pgn
0x16d6f7000     8.04s           1564            Wojtkiewicz.pgn
0x16d4c7000     97.46s          15562           Modern3Nf3.pgn
0x16d6f7000     10.57s          1668            Vitiugov.pgn
0x16d783000     46.20s          8020            QGAMain.pgn
0x16d6f7000     4.28s           739             Schlechter.pgn
0x16d783000     16.39s          2491            Morozevich.pgn
0x16d553000     40.49s          6606            PircOtherWhite3.pgn
0x16d89b000     34.38s          5768            SlavOther5.pgn
0x16d783000     3.36s           491             Xu.pgn
0x16d6f7000     22.16s          3590            Timman.pgn
0x16d783000     9.93s           1893            Petrosian.pgn
